company,location,certification,datacenter
Central Bank of the UAE,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Central Bank of the UAE
Avantage LLC,"Lytkarino Moscow, Russia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Avantage LLC
1-Net Singapore Pte Ltd,"Singapore, Singapore",Tier III Certification of Design Documents,1-Net Singapore Pte Ltd
1-Net Singapore Pte Ltd,"Singapore, Singapore",Tier III Certification of Constructed Facility,1-Net Singapore Pte Ltd
21st Century Technologies Limited,"Lagos, Nigeria",Tier IV Certification of Design Documents,21st Century Technologies Limited
21st Century Technologies Limited,"Lagos, Nigeria",Tier III Certification of Design Documents,21st Century Technologies Limited
"21Vianet Group, Inc","Shanghai, China",M&O Stamp Of Approval,"21Vianet Group, Inc"
24 Data Networks Limited (24DNL),"Egbokor, Nigeria",Tier IV Certification of Design Documents,24 Data Networks Limited (24DNL)
A1 Hrvatska d.o.o.,"Zagreb, Croatia",Tier III Certification of Design Documents,A1 Hrvatska d.o.o.
A1 Telekom Austria AG,"Vienna, Austria",Tier III Certification of Design Documents,A1 Telekom Austria AG
AAA,"Heathrow Florida, United States",Efficient IT ActivatedEfficient IT Stamp Of Approval,AAA
AB Lietuvos Radijo Ir Televizijos Centras,"Vilnius, Lithuania",Tier III Certification of Design Documents,AB Lietuvos Radijo Ir Televizijos Centras
"AB Network, S.A.","Panama-Pacifico Howard, Panama",Tier II Certification of Design Documents,"AB Network, S.A."
Abu Dhabi City Municipality,"Madinat Zayed, United Arab Emirates",Tier IV Certification of Design Documents,Abu Dhabi City Municipality
Abu Dhabi City Municipality,"Madinat Zayed, United Arab Emirates",Tier IV Certification of Constructed Facility,Abu Dhabi City Municipality
Abu Dhabi Ports,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Abu Dhabi Ports
Abu Dhbai Judicial Department,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design Documents,Abu Dhbai Judicial Department
ACUD - Administrative Capital For Urban Development,"New Administrative Capital, Egypt",Tier III Certification of Design Documents,ACUD - Administrative Capital For Urban Development
Administrasi Hukum Umum,"Batam Kota Kepulauan Riau, Indonesia",Tier IV Certification of Design Documents,Administrasi Hukum Umum
ADN Datacenters,"Alajuela, Costa Rica",Tier III Certification of Design Documents,ADN Datacenters
ADNOC,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsM&O Stamp Of Approval,ADNOC
Africa Data Centres,"Centurion, South Africa",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Africa Data Centres
Agricultural Bank of China,"Beijing, China",Tier IV Certification of Design Documents,Agricultural Bank of China
Agricultural Bank of Egypt,"Giza, Egypt",Tier III Certification of Design Documents,Agricultural Bank of Egypt
AI Inversiones Palo Alto II S.A.C,"Lima, Peru",Tier III Certification of Design Documents,AI Inversiones Palo Alto II S.A.C
AI Inversiones Palo Alto II S.A.C,"Lima, Peru",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,AI Inversiones Palo Alto II S.A.C
AiEmTi,"Moscow, Russia",Tier III Certification of Design Documents,AiEmTi
AIG,"Fort Worth Texas, United States",M&O Stamp Of ApprovalEfficient IT ActivatedTier III Certification of Design Documents,AIG
AIG,"Livingston New Jersey, United States",M&O Stamp Of ApprovalEfficient IT Activated,AIG
AIG,"Livingston New Jersey, United States",Tier III Certification of Design Documents,AIG
AIMS Data Centre Sdn Bhd,"Cyberjaya, Malaysia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,AIMS Data Centre Sdn Bhd
Ajman Digital Government,"Ajman, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Ajman Digital Government
AKADO Telecom,"Moscow, Russia",Tier III Certification of Design Documents,AKADO Telecom
Akbank T.A.Ş.,"Kocaeli, Turkey",Tier III Certification of Design Documents,Akbank T.A.Ş.
Akbank T.A.Ş.,"Kocaeli, Turkey",Tier III Certification of Constructed FacilityTier III Silver Certification of Operational Sustainability,Akbank T.A.Ş.
Al Mirnaah for Investment and Business Development,"Aqaba, Jordan",Tier III Certification of Design Documents,Al Mirnaah for Investment and Business Development
Al Rajhi Bank,"Riyadh, Saudi Arabia",Tier IV Certification of Design Documents,Al Rajhi Bank
Al Rajhi Bank,"Riyadh, Saudi Arabia",Tier IV Certification of Constructed Facility,Al Rajhi Bank
Al Ra’idah Investment Company,"Riyadh, Saudi Arabia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Al Ra’idah Investment Company
Al-Imam Mohammad Ibn Saud Islamic University,"Riyadh Riyadh, Saudi Arabia",Tier III Certification of Design Documents,Al-Imam Mohammad Ibn Saud Islamic University
Al-Mirnaah Investment & Business Development Co. PSC,"Aqaba, Jordan",Tier III Certification of Design Documents,Al-Mirnaah Investment & Business Development Co. PSC
